directory,file_path,file_name,file_size,modified_time,scan_time,is_error_log,error_content
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\hemlagad_pot_with_lid_part02_00580909.stl,hemlagad_pot_with_lid_part02_00580909.stl,793234,2026-01-06 19:38:04,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\hemlagad_pot_with_lid_part01_00580909.stl,hemlagad_pot_with_lid_part01_00580909.stl,894634,2026-01-06 19:37:48,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\fogklar_bowl_10479369.stl,fogklar_bowl_10479369.stl,274784,2026-01-06 19:37:32,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\iphone_11_pro_chip.stl,iphone_11_pro_chip.stl,1206084,2026-02-12 09:55:21,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\remotecontrol_chip.stl,remotecontrol_chip.stl,1218484,2026-02-12 09:55:22,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\mugcup_white_chip.stl,mugcup_white_chip.stl,1146084,2026-03-04 10:12:08,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\mugcup_blue_chip.stl,mugcup_blue_chip.stl,1200984,2026-03-04 10:12:09,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\cleaningtools_dustpan.stl,cleaningtools_dustpan.stl,1852484,2026-03-06 13:18:53,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\cleaningtools_broom.stl,cleaningtools_broom.stl,1796784,2026-03-06 13:18:30,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\trashbox_chip.stl,trashbox_chip.stl,1376384,2026-03-06 14:51:40,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\trashbucket_chip.stl,trashbucket_chip.stl,1244284,2026-03-06 14:51:38,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\TeaTray_Bamboo_Yellow_280mm.fbx,TeaTray_Bamboo_Yellow_280mm.fbx,1605200,2026-04-02 16:53:14,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\TeaTray_Bamboo_Yellow_280mm_Print.stl,TeaTray_Bamboo_Yellow_280mm_Print.stl,237784,2026-04-02 16:53:14,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\teatray_bamboo_yellow_280mm_qc.stl,teatray_bamboo_yellow_280mm_qc.stl,1246684,2026-04-02 16:53:15,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\TeaTray_PP_Green_386x225mm_3DPrint.stl,TeaTray_PP_Green_386x225mm_3DPrint.stl,237284,2026-04-02 16:53:39,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\teatray_pp_green_386x225mm_qc.stl,teatray_pp_green_386x225mm_qc.stl,1136584,2026-04-02 16:53:39,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\TeaTray_PP_Yellow_308x175mm_3DPrint.stl,TeaTray_PP_Yellow_308x175mm_3DPrint.stl,236184,2026-04-02 16:53:26,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\teatray_pp_yellow_308x175mm_qc.stl,teatray_pp_yellow_308x175mm_qc.stl,1135484,2026-04-02 16:53:27,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\TeaTray_Wood_Brown_315x182mm_3DPrint.stl,TeaTray_Wood_Brown_315x182mm_3DPrint.stl,232884,2026-04-02 16:53:06,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\teatray_wood_brown_315x182mm_qc.stl,teatray_wood_brown_315x182mm_qc.stl,1229184,2026-04-02 16:53:07,2026-05-11 14:48:05,False,
\10.128.0.30\data_common\viz_check\assets\meshes_chip,\10.128.0.30\data_common\viz_check\assets\meshes_chip\Cup_Glass_d71mm_3DPrint.stl,Cup_Glass_d71mm_3DPrint.stl,258084,2026-04-02 16:51:30,2026-05-11 14:48:05,False,
